,state,tot_co2,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad,FIPS,Unnamed: 0,CSA Code,CBSA Title,MSAMCA,center-outer,city,city_pop2014,county_pop2002,county_co2_pc_tons,county,county_land_area_sqmi,top_level,CSA,density_sqmi_county
203,GA,443492.296532,9705.44239694,62896.5023481,34511.4607727,0.0,298653.646323,0.0,3458.47346607,8693.50978885,25573.2614364,13151.0,76,122.0,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central,"Atlanta-Sandy Springs-Roswell, GA",5614323,139800,3.17233402383,Henry County,322.127,"Atlanta--Athens-Clarke County--Sandy Springs, GA",True,433.990320588
204,GA,315272.912302,10061.1756845,47457.677131,15033.5023683,52448.5253367,174214.6651,0.0,1.09376928746,2.74792497277,16053.5249869,13153.0,1165,356.0,"Warner Robins, GA",Metropolitan Statistical Area,Central,"Warner Robins, GA",187516,116390,2.708762886,Houston County,375.541,"Macon-Warner Robins, GA",True,309.926213117
209,GA,42486.3116744,748.132255323,3568.23434528,1293.82442351,0.0,32527.0436996,0.0,0.0,0.0,4349.07695072,13177.0,16,,"Albany, GA",Metropolitan Statistical Area,Central,"Albany, GA",154925,27727,1.53230827982,Lee County,355.784,"Albany, GA",False,77.9321161154
211,GA,598363.42788,11789.6989875,336544.403944,11550.959704,0.0,190149.132458,0.0,9914.00117089,24920.674928,13494.5566875,13185.0,1143,,"Valdosta, GA",Metropolitan Statistical Area,Central,"Valdosta, GA",143317,94272,6.34720200993,Lowndes County,496.066,"Valdosta, GA",False,190.039228651
219,GA,228344.163101,1492.71646429,59947.9855731,5201.34556079,92749.2752113,64571.663968,0.0,0.0,0.0,4381.17632316,13213.0,325,174.0,"Dalton, GA",Metropolitan Statistical Area,Central,"Dalton, GA",142952,38362,5.95235293,Murray County,344.466,"Chattanooga-Cleveland-Dalton, TN-GA-AL",True,111.366578995
220,GA,462942.620376,30363.9778063,139824.664618,55666.0316383,0.0,197789.326443,0.0,5521.09879865,13878.3043625,19899.216709,13215.0,290,194.0,"Columbus, GA-AL",Metropolitan Statistical Area,Central,"Columbus, GA-AL",314005,185894,2.49035805554,Muscogee County,216.385,"Columbus-Auburn-Opelika, GA-AL",True,859.089123553
221,GA,217217.780113,3975.45075786,45388.8573397,13377.2519823,0.0,125000.209981,0.0,4513.68130965,11345.9742376,13616.3545049,13217.0,81,122.0,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central,"Atlanta-Sandy Springs-Roswell, GA",5614323,71239,3.04914134271,Newton County,272.161,"Atlanta--Athens-Clarke County--Sandy Springs, GA",True,261.753153464
222,GA,91247.9554189,1752.57401861,9053.50222078,4922.63347571,0.0,69567.6851413,0.0,0.0,0.0,5951.56056252,13219.0,57,122.0,"Athens-Clarke County, GA",Metropolitan Statistical Area,Central,"Athens-Clarke County, GA",199016,27100,3.36708322579,Oconee County,184.29,"Atlanta--Athens-Clarke County--Sandy Springs, GA",True,147.050843779
224,GA,154374.859147,2831.09222023,10625.52864,22991.804007,0.0,105903.437415,0.0,0.0,0.0,12022.9968644,13223.0,82,122.0,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central,"Atlanta-Sandy Springs-Roswell, GA",5614323,93888,1.64424483583,Paulding County,312.219,"Atlanta--Athens-Clarke County--Sandy Springs, GA",True,300.712000231
229,GA,912962.964787,28836.5988466,512356.218404,54074.4795089,0.0,260371.165765,0.0,10993.6468229,27634.5583761,18696.2970628,13245.0,94,,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,Central,"Augusta-Richmond County, GA-SC",583632,199092,4.58563360048,Richmond County,324.326,"Augusta-Richmond County, GA-SC",False,613.86382837
230,GA,240235.315239,12720.6287206,61862.6533572,20559.8643162,0.0,134226.915414,0.0,0.0,0.0,10865.2534309,13247.0,85,122.0,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central,"Atlanta-Sandy Springs-Roswell, GA",5614323,72987,3.29148088343,Rockdale County,129.793,"Atlanta--Athens-Clarke County--Sandy Springs, GA",True,562.333870085
231,GA,195271.779506,5814.19466555,49135.8766482,18469.4851486,0.0,102227.959606,0.0,3723.46230962,9359.60945724,6541.19167069,13255.0,86,122.0,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central,"Atlanta-Sandy Springs-Roswell, GA",5614323,59868,3.26170541034,Spalding County,196.469,"Atlanta--Athens-Clarke County--Sandy Springs, GA",True,304.719828573
234,GA,175759.140219,5173.58700243,69358.9980674,12041.0211698,0.0,81114.2958452,0.0,697.823018192,1754.10538262,5619.3097335,13295.0,225,174.0,"Chattanooga, TN-GA",Metropolitan Statistical Area,Central,"Chattanooga, TN-GA",544559,61964,2.83647182588,Walker County,446.379,"Chattanooga-Cleveland-Dalton, TN-GA-AL",True,138.814773993
235,GA,216236.968445,3243.30566178,21349.7581703,10232.0742686,57480.8690276,107363.818208,0.0,1288.28864897,3238.35214291,12040.5023164,13297.0,87,122.0,"Atlanta-Sandy Springs-Roswell, GA",Metropolitan Statistical Area,Central,"Atlanta-Sandy Springs-Roswell, GA",5614323,66856,3.23436891894,Walton County,325.68,"Atlanta--Athens-Clarke County--Sandy Springs, GA",True,205.281257676
236,GA,721881.560414,12145.2451445,473185.220091,10843.63097,0.0,201762.354844,0.0,3003.00327135,7548.60300019,13393.5030935,13313.0,326,174.0,"Dalton, GA",Metropolitan Statistical Area,Central,"Dalton, GA",142952,86381,8.3569484078,Whitfield County,290.464,"Chattanooga-Cleveland-Dalton, TN-GA-AL",True,297.389693731
238,HI,747868.586279,5001.65148877,13106.3655463,11885.4448869,184020.824532,270845.180272,0.0,36538.6647759,205821.607485,20648.8472909,15001.0,466,,"Hilo, HI",Micropolitan Statistical Area,Central,"Hilo, HI",194190,153170,4.88260485917,Hawaii County,4028.417,"Hilo, HI",False,38.0223795104
239,HI,2894832.22284,33897.3488312,269411.309596,15167.5435077,1217013.27643,749597.002078,0.0,80143.4541401,451446.560816,78155.7274444,15003.0,1137,,"Urban Honolulu, HI",Metropolitan Statistical Area,Central,"Urban Honolulu, HI",991788,882628,3.27978743348,Honolulu County,600.743,"Urban Honolulu, HI",False,1469.22727356
241,HI,744584.085484,27031.8401991,19982.2084442,5045.15471737,243069.109286,127588.026862,0.0,46171.9286127,260085.600647,15610.2167159,15009.0,539,,"Kahului-Wailuku-Lahaina, HI",Metropolitan Statistical Area,Central,"Kahului-Wailuku-Lahaina, HI",163108,132672,5.61221723864,Maui County,1161.521,"Kahului-Wailuku-Lahaina, HI",False,114.222644274
242,ID,964520.537997,85975.590927,238808.430844,125158.622001,0.0,364982.631553,0.0,25538.9052125,64196.7532888,59859.6041711,16001.0,159,147.0,"Boise City, ID",Metropolitan Statistical Area,Central,"Boise City, ID",664422,320917,3.00551400517,Ada County,1052.576,"Boise City-Mountain Home-Ontario, ID-OR",True,304.887248047
244,ID,211900.315923,23090.2241964,53128.3522567,28778.8284505,0.0,73002.6302016,0.0,5393.92627934,13558.6290906,14947.7254478,16019.0,491,292.0,"Idaho Falls, ID",Metropolitan Statistical Area,Central,"Idaho Falls, ID",138266,84643,2.50345942279,Bonneville County,1866.077,"Idaho Falls-Rexburg-Blackfoot, ID",True,45.3587928044
251,ID,448394.267479,31967.241739,119104.470607,23858.7625227,120613.01908,96147.8987603,0.0,10135.6209184,25477.7514475,21089.5024037,16055.0,273,518.0,"Coeur d'Alene, ID",Metropolitan Statistical Area,Central,"Coeur d'Alene, ID",147326,114000,3.93328304806,Kootenai County,1244.125,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",True,91.6306641214
253,ID,182284.910192,18973.4468099,38305.4735929,28429.2013211,0.0,56868.26043,0.0,7364.68367758,18512.4873415,13831.357019,16083.0,1135,,"Twin Falls, ID",Micropolitan Statistical Area,Central,"Twin Falls, ID",103732,65295,2.79171315096,Twin Falls County,1921.213,"Twin Falls, ID",False,33.9863409211
255,IL,182033.725898,4135.91346892,29291.347878,23728.5320435,0.0,76337.810135,0.0,9903.25878375,24893.6691533,13743.194436,17007.0,925,466.0,"Rockford, IL",Metropolitan Statistical Area,Central,"Rockford, IL",342411,44508,4.08991026104,Boone County,280.719,"Rockford-Freeport-Rochelle, IL",True,158.550009084
256,IL,148492.301422,14846.4792589,11993.8526984,24001.8758013,648.043008671,78958.9430646,0.0,0.0,0.0,18043.1075906,17011.0,808,176.0,"Ottawa-Peru, IL",Micropolitan Statistical Area,Central,"Ottawa-Peru, IL",150895,34995,4.24324336112,Bureau County,869.031,"Chicago-Naperville, IL-IN-WI",True,40.2689892535
258,IL,655053.079324,48450.8943234,82249.3971384,99079.7211957,40601.4474682,252240.372935,0.0,26970.7064003,67795.8535531,37664.6863091,17019.0,198,,"Champaign-Urbana, IL",Metropolitan Statistical Area,Central,"Champaign-Urbana, IL",237252,183102,3.57753098996,Champaign County,996.266,"Champaign-Urbana, IL",False,183.788265383
260,IL,16972333.178,1717593.67921,2009442.34153,3251091.94326,1171614.7947,4890367.55019,0.0,979744.499396,2462768.74947,489709.620211,17031.0,229,176.0,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Central,"Chicago-Naperville-Elgin, IL-IN-WI",9554598,5355574,3.16909694049,Cook County,945.326,"Chicago-Naperville, IL-IN-WI",True,5665.31968866
263,IL,2848693.80121,356912.754064,418166.05687,542410.287169,37128.5245932,1222208.29602,0.0,38151.5665275,95901.0062495,137815.30972,17043.0,230,176.0,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Central,"Chicago-Naperville-Elgin, IL-IN-WI",9554598,918864,3.10023442121,DuPage County,327.499,"Chicago-Naperville, IL-IN-WI",True,2805.70017008
267,IL,337134.799387,18983.4238597,16540.2249709,23302.6986716,132328.754001,71319.458736,0.0,18380.6856434,46203.2520671,10076.3014376,17077.0,192,,"Carbondale-Marion, IL",Metropolitan Statistical Area,Central,"Carbondale-Marion, IL",126685,58577,5.75541252347,Jackson County,584.081,"Carbondale-Marion, IL",False,100.289172221
269,IL,1220238.08537,98481.0192812,228659.657203,230999.400212,12126.0009512,489071.308839,0.0,20322.3048491,51083.8677187,89494.5263132,17089.0,236,176.0,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Central,"Chicago-Naperville-Elgin, IL-IN-WI",9554598,440157,2.77227917622,Kane County,520.058,"Chicago-Naperville, IL-IN-WI",True,846.361367386
270,IL,378035.7217,23965.7388018,96467.9898905,61040.7739655,3572.75523995,134042.705903,0.0,10130.5912239,25465.1180726,23350.0486032,17091.0,542,176.0,"Kankakee, IL",Metropolitan Statistical Area,Central,"Kankakee, IL",111375,105416,3.58613229206,Kankakee County,676.556,"Chicago-Naperville, IL-IN-WI",True,155.812674782
271,IL,315376.067929,7664.84869186,52492.4415829,32032.1665764,116411.114791,85132.0968588,0.0,0.0,0.0,21643.3994281,17093.0,232,176.0,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Central,"Chicago-Naperville-Elgin, IL-IN-WI",9554598,61755,5.10689123033,Kendall County,320.335,"Chicago-Naperville, IL-IN-WI",True,192.782555762
272,IL,3267835.25592,177564.952373,499993.876084,362879.819525,1211650.53964,835532.500391,0.0,20908.8654376,52558.2909791,106746.411499,17097.0,241,176.0,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Central,"Chicago-Naperville-Elgin, IL-IN-WI",9554598,671443,4.8668840928,Lake County,443.67,"Chicago-Naperville, IL-IN-WI",True,1513.38382131
273,IL,595962.003751,26577.8661265,75419.7574552,73457.936226,2170.05716632,198154.802635,165584.782558,7300.53914879,18351.2536181,28945.0088174,17099.0,809,176.0,"Ottawa-Peru, IL",Micropolitan Statistical Area,Central,"Ottawa-Peru, IL",150895,111504,5.34475896606,LaSalle County,1135.124,"Chicago-Naperville, IL-IN-WI",True,98.2306778819
274,IL,722841.772221,47286.236386,116021.048127,151988.245013,750.207489358,296243.563445,0.0,14672.9507353,36883.1667095,58996.3543148,17111.0,233,176.0,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Central,"Chicago-Naperville-Elgin, IL-IN-WI",9554598,278222,2.59807553759,McHenry County,603.171,"Chicago-Naperville, IL-IN-WI",True,461.265544928
275,IL,563719.179523,57923.5327938,57368.4323496,91227.1252422,5859.63054303,271594.863725,0.0,11782.6832653,29617.9495565,38344.9620483,17113.0,154,145.0,"Bloomington, IL",Metropolitan Statistical Area,Central,"Bloomington, IL",190345,155630,3.6221755415,McLean County,1183.378,"Bloomington-Pontiac, IL",True,131.513345693
276,IL,546509.727419,7786.25544223,253944.521554,72475.2973717,8198.95009697,145265.392445,0.0,10830.1031505,27223.4626052,20785.7447534,17115.0,339,,"Decatur, IL",Metropolitan Statistical Area,Central,"Decatur, IL",108350,111980,4.88042264171,Macon County,580.689,"Decatur, IL",False,192.839885033
278,IL,3148637.13968,270488.669918,1629872.82199,150974.990786,600861.776095,398797.399397,0.0,16405.458053,41238.1454663,39997.8779764,17119.0,947,476.0,"St. Louis, MO-IL",Metropolitan Statistical Area,Central,"St. Louis, MO-IL",2806207,261346,12.0477724537,Madison County,715.582,"St. Louis-St. Charles-Farmington, MO-IL",True,365.221595848
282,IL,83136.9050759,4267.46643998,1695.53743639,13660.8539805,7.73050117406,48643.1883718,0.0,1788.63448184,4496.06545544,8577.42840885,17133.0,948,476.0,"St. Louis, MO-IL",Metropolitan Statistical Area,Central,"St. Louis, MO-IL",2806207,29195,2.84764189334,Monroe County,385.011,"St. Louis-St. Charles-Farmington, MO-IL",True,75.8290022882
283,IL,1943103.48771,60368.6868968,398936.293275,109828.303054,1019688.40758,244877.855097,0.0,22868.4755396,57484.1434053,29051.3228616,17143.0,821,426.0,"Peoria, IL",Metropolitan Statistical Area,Central,"Peoria, IL",380040,182453,10.6498851085,Peoria County,619.209,"Peoria-Canton, IL",True,294.654954951
286,IL,616469.167036,38254.019498,106488.562942,102554.429583,103668.83676,191468.454931,0.0,15643.7603382,39323.4833853,19067.6195981,17161.0,332,209.0,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,Central,"Davenport-Moline-Rock Island, IA-IL",383030,148140,4.16139575426,Rock Island County,427.636,"Davenport-Moline, IA-IL",True,346.416110898
287,IL,820742.971646,55851.8610112,54116.2767598,140115.469715,277.54320643,380187.067165,0.0,45626.639621,114690.994188,29877.1199797,17163.0,949,476.0,"St. Louis, MO-IL",Metropolitan Statistical Area,Central,"St. Louis, MO-IL",2806207,257123,3.19202471831,St. Clair County,657.759,"St. Louis-St. Charles-Farmington, MO-IL",True,390.907612059
288,IL,1278237.19854,98174.1721105,40320.3079688,117161.634912,641411.467695,296787.058129,0.0,15066.1357733,37871.5169996,31444.9049552,17167.0,1069,522.0,"Springfield, IL",Metropolitan Statistical Area,Central,"Springfield, IL",211567,191486,6.67535589308,Sangamon County,868.302,"Springfield-Jacksonville-Lincoln, IL",True,220.52926286
290,IL,2441723.53557,34999.6930519,102269.206733,79982.2453427,2010051.10506,181917.409467,0.0,2487.1634459,6251.94526304,23764.7672071,17179.0,823,426.0,"Peoria, IL",Metropolitan Statistical Area,Central,"Peoria, IL",380040,128107,19.0600321261,Tazewell County,648.974,"Peoria-Canton, IL",True,197.399279478
291,IL,5173482.90049,83301.5670179,369076.569893,291413.990161,3554489.07826,634134.966169,0.0,39056.7858959,98176.447427,103833.495666,17197.0,234,176.0,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Central,"Chicago-Naperville-Elgin, IL-IN-WI",9554598,555566,9.31209415352,Will County,836.908,"Chicago-Naperville, IL-IN-WI",True,663.831627849
292,IL,611460.566523,14572.6773396,18280.1765041,24123.8595168,403396.274343,111392.023755,0.0,8502.44772572,21372.4754382,9820.6319012,17199.0,193,,"Carbondale-Marion, IL",Metropolitan Statistical Area,Central,"Carbondale-Marion, IL",126685,62089,9.84813036968,Williamson County,420.149,"Carbondale-Marion, IL",False,147.77852619
293,IL,949238.449546,74352.5356429,211814.538961,184279.231134,20024.9338611,358542.970831,0.0,17496.7341899,43981.2737391,38746.2311868,17201.0,926,466.0,"Rockford, IL",Metropolitan Statistical Area,Central,"Rockford, IL",342411,282572,3.35927993413,Winnebago County,513.362,"Rockford-Freeport-Rochelle, IL",True,550.434196532
294,IL,129013.199527,5465.9146101,18861.6030472,20714.1470402,0.0,69599.8115783,0.0,0.0,0.0,14371.7232516,17203.0,824,426.0,"Peoria, IL",Metropolitan Statistical Area,Central,"Peoria, IL",380040,35698,3.61401757878,Woodford County,527.799,"Peoria-Canton, IL",True,67.6355961266
295,IN,1109202.0158,111194.936734,243302.830181,151847.850202,0.0,480679.124258,0.0,16218.0499433,40767.059971,65192.1645131,18003.0,413,258.0,"Fort Wayne, IN",Metropolitan Statistical Area,Central,"Fort Wayne, IN",427183,337069,3.29072687136,Allen County,657.308,"Fort Wayne-Huntington-Auburn, IN",True,512.80221753
297,IN,190484.487126,5364.54072573,11441.5118686,19126.7071587,0.0,123201.520011,0.0,3968.76126858,9976.21550113,17405.2305921,18011.0,494,294.0,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Central,"Indianapolis-Carmel-Anderson, IN",1971274,48171,3.95433948073,Boone County,422.913,"Indianapolis-Carmel-Muncie, IN",True,113.902859453
300,IN,472287.527514,27860.0243867,47618.8995001,37377.1145068,3.43577829958,180143.102556,130746.562799,9883.06301299,24842.9055538,13812.4194204,18019.0,629,350.0,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,Central,"Louisville/Jefferson County, KY-IN",1269702,97882,4.82507026331,Clark County,372.855,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",True,262.520282684
301,IN,89307.8983224,2299.10186872,8397.23428505,9628.0287532,0.0,62661.0248506,0.0,0.0,0.0,6322.50856486,18021.0,1095,,"Terre Haute, IN",Metropolitan Statistical Area,Central,"Terre Haute, IN",171480,26393,3.38377214877,Clay County,357.542,"Terre Haute, IN",False,73.8179011137
303,IN,376336.943274,45410.1255981,68406.348236,51083.5725637,0.0,181470.995468,0.0,3891.10400661,9781.00662807,16293.7907731,18035.0,719,294.0,"Muncie, IN",Metropolitan Statistical Area,Central,"Muncie, IN",117074,119400,3.15190069744,Delaware County,392.124,"Indianapolis-Carmel-Muncie, IN",True,304.495516724
304,IN,843202.135237,55855.6515124,333657.778374,86486.601695,7344.40434389,282991.571561,0.0,8289.1752251,20836.3734185,47740.5791071,18039.0,382,515.0,"Elkhart-Goshen, IN",Metropolitan Statistical Area,Central,"Elkhart-Goshen, IN",201971,185148,4.55420601485,Elkhart County,463.17,"South Bend-Elkhart-Mishawaka, IN-MI",True,399.740915862
305,IN,977932.740073,11028.1138791,40458.414991,27108.0737205,771019.930471,115449.685746,0.0,0.0,0.0,12868.5212665,18043.0,630,350.0,"Louisville/Jefferson County, KY-IN",Metropolitan Statistical Area,Central,"Louisville/Jefferson County, KY-IN",1269702,71436,13.689634639,Floyd County,147.935,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",True,482.887754757
306,IN,584580.515901,64369.4364193,30370.8478394,65157.2718405,61317.0182263,274033.150748,0.0,7658.37567229,19250.7410592,62423.6740964,18057.0,496,294.0,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Central,"Indianapolis-Carmel-Anderson, IN",1971274,207867,2.81228148721,Hamilton County,394.267,"Indianapolis-Carmel-Muncie, IN",True,527.223937078
307,IN,199505.191585,5887.96509948,25158.8084889,24890.1286398,0.0,114349.53167,0.0,4086.32927825,10271.7391232,14860.6892852,18059.0,497,294.0,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Central,"Indianapolis-Carmel-Anderson, IN",1971274,57980,3.4409312105,Hancock County,306.016,"Indianapolis-Carmel-Muncie, IN",True,189.4672174
309,IN,306768.484168,20763.1664941,10741.0685466,39417.3122296,0.0,192804.869945,0.0,2861.39767992,7192.65157871,32988.0176937,18063.0,498,294.0,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Central,"Indianapolis-Carmel-Anderson, IN",1971274,114677,2.67506548103,Hendricks County,406.911,"Indianapolis-Carmel-Muncie, IN",True,281.823297969
311,IN,343407.68781,28969.5749271,41501.4680673,48103.8719395,0.0,191441.666648,0.0,3506.23904999,8813.58216265,21071.285015,18081.0,499,294.0,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Central,"Indianapolis-Carmel-Anderson, IN",1971274,121883,2.81751916026,Johnson County,320.427,"Indianapolis-Carmel-Muncie, IN",True,380.376809695
312,IN,4079630.68396,123485.645385,1935821.22645,240631.08907,1057081.31925,630397.823552,0.0,10117.358081,25431.846498,56664.3756779,18089.0,238,176.0,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Central,"Chicago-Naperville-Elgin, IL-IN-WI",9554598,483991,8.42914575676,Lake County,498.961,"Chicago-Naperville, IL-IN-WI",True,969.997655127
313,IN,1082579.37724,20777.388437,76287.2201051,54876.9663147,733367.926422,167738.691598,0.0,3019.85343062,7590.95909977,18920.371836,18091.0,681,176.0,"Michigan City-La Porte, IN",Metropolitan Statistical Area,Central,"Michigan City-La Porte, IN",111444,109441,9.89189953713,LaPorte County,598.299,"Chicago-Naperville, IL-IN-WI",True,182.920245563
315,IN,3551032.99851,344867.52729,451930.694471,356627.739459,1034490.72326,1071718.33746,0.0,47051.460309,118272.531628,126073.984632,18097.0,501,294.0,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Central,"Indianapolis-Carmel-Anderson, IN",1971274,864857,4.10591924272,Marion County,396.298,"Indianapolis-Carmel-Muncie, IN",True,2182.34005723
316,IN,320878.86874,64071.8942503,44116.5710553,43075.6009491,0.0,134259.147009,0.0,4588.73096845,11534.6208357,19232.3036731,18105.0,155,144.0,"Bloomington, IN",Metropolitan Statistical Area,Central,"Bloomington, IN",164308,121318,2.64494031175,Monroe County,394.509,"Bloomington-Bedford, IN",True,307.516431818
317,IN,602698.069392,6593.48611693,13927.408889,24715.3815068,414063.543991,132488.85704,0.0,0.0,0.0,10909.3918473,18109.0,502,294.0,"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,Central,"Indianapolis-Carmel-Anderson, IN",1971274,67792,8.8904010708,Morgan County,403.969,"Indianapolis-Carmel-Muncie, IN",True,167.814857081
321,IN,6829557.75395,29461.3856546,5617671.97861,73059.2161484,833027.182892,234981.556899,0.0,4098.57323905,10302.5194229,26955.3410887,18127.0,240,176.0,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,Central,"Chicago-Naperville-Elgin, IL-IN-WI",9554598,149950,45.545566882,Porter County,418.153,"Chicago-Naperville, IL-IN-WI",True,358.600799229
324,IN,763349.499358,127348.497092,125160.620914,130796.003157,0.0,301625.097536,0.0,12053.5895436,30298.9216497,36066.7694661,18141.0,1061,515.0,"South Bend-Mishawaka, IN-MI",Metropolitan Statistical Area,Central,"South Bend-Mishawaka, IN-MI",319226,265179,2.87861972237,St. Joseph County,457.85,"South Bend-Elkhart-Mishawaka, IN-MI",True,579.183138583
328,IN,745702.117807,48537.1425384,264951.658265,58640.3395458,102803.730833,192488.508888,0.0,14277.7611328,35889.7896193,28113.1869852,18157.0,586,320.0,"Lafayette-West Lafayette, IN",Metropolitan Statistical Area,Central,"Lafayette-West Lafayette, IN",211697,151468,4.92316606681,Tippecanoe County,499.806,"Lafayette-West Lafayette-Frankfort, IN",True,303.053584791
330,IN,561831.714291,71592.5156663,112513.629962,74813.8180111,650.546963443,225075.796883,0.0,14297.7796843,35940.1107188,26947.5164017,18163.0,389,,"Evansville, IN-KY",Metropolitan Statistical Area,Central,"Evansville, IN-KY",315162,172183,3.26299178369,Vanderburgh County,233.475,"Evansville, IN-KY",False,737.479387515
332,IN,2218476.95934,36269.2091974,414792.826156,42400.6849433,1478403.08355,193224.319471,0.0,11000.8212345,27652.5946759,14733.4201108,18167.0,1098,,"Terre Haute, IN",Metropolitan Statistical Area,Central,"Terre Haute, IN",171480,104829,21.1628171531,Vigo County,403.313,"Terre Haute, IN",False,259.919714961
333,IN,3095600.87837,4021.60554724,724116.729957,19586.8344084,2216246.20091,121809.494568,0.0,0.0,0.0,9820.01297975,18173.0,390,,"Evansville, IN-KY",Metropolitan Statistical Area,Central,"Evansville, IN-KY",315162,53150,58.2427258395,Warrick County,384.815,"Evansville, IN-KY",False,138.118316594
338,IA,418469.27779,37538.3558032,85901.2030323,61841.4776564,16931.756395,172515.287266,0.0,6381.90602259,16042.098366,21317.1932484,19013.0,1216,,"Waterloo-Cedar Falls, IA",Metropolitan Statistical Area,Central,"Waterloo-Cedar Falls, IA",169993,126628,3.30471363198,Black Hawk County,565.769,"Waterloo-Cedar Falls, IA",False,223.815726913
340,IA,142295.662132,5555.2290468,15576.9450283,20724.2497449,0.0,83397.052655,0.0,473.446078497,1190.09488821,15378.6446901,19049.0,352,218.0,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,Central,"Des Moines-West Des Moines, IA",611549,44324,3.21035245311,Dallas County,588.447,"Des Moines-Ames-West Des Moines, IA",True,75.3236910036
344,IA,334784.838377,38956.7830846,30703.7626259,60720.9075456,18.285355223,173743.674923,0.0,1681.94604515,4227.8794831,24731.5993142,19103.0,505,168.0,"Iowa City, IA",Metropolitan Statistical Area,Central,"Iowa City, IA",164357,115560,2.89706506037,Johnson County,614.04,"Cedar Rapids-Iowa City, IA",True,188.196208716
346,IA,1136001.88489,68751.097615,129351.407982,98764.735302,508105.603153,247656.127363,0.0,14537.4405486,36542.5434878,32292.9294357,19113.0,196,168.0,"Cedar Rapids, IA",Metropolitan Statistical Area,Central,"Cedar Rapids, IA",263885,195918,5.79835382602,Linn County,716.88,"Cedar Rapids-Iowa City, IA",True,273.292601272
350,IA,1190967.2533,179757.426891,113343.648478,177476.729186,2030.41339219,558123.158535,0.0,24736.7742071,62180.4489588,73318.6536459,19153.0,355,218.0,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,Central,"Des Moines-West Des Moines, IA",611549,385838,3.08670284756,Polk County,573.795,"Des Moines-Ames-West Des Moines, IA",True,672.431791842
351,IA,1938725.17447,22768.3182914,28053.716626,45476.0790301,1589502.05905,184659.128063,0.0,3295.71870166,8284.39641791,56685.7582914,19155.0,797,420.0,"Omaha-Council Bluffs, NE-IA",Metropolitan Statistical Area,Central,"Omaha-Council Bluffs, NE-IA",904421,87944,22.0449965259,Pottawattamie County,950.28,"Omaha-Council Bluffs-Fremont, NE-IA",True,92.5453550532
352,IA,812122.029091,51526.9801228,83520.8277584,81407.4236789,192046.029612,223895.817518,140284.645862,3075.85995847,7731.74047337,28632.7041079,19163.0,333,209.0,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,Central,"Davenport-Moline-Rock Island, IA-IL",383030,158677,5.11808282921,Scott County,458.089,"Davenport-Moline, IA-IL",True,346.389020474
355,IA,2986622.61836,33219.0866697,43789.1572284,49866.2154366,2690944.28001,127060.867475,0.0,6025.94066669,15147.3191249,20569.7517457,19193.0,1053,512.0,"Sioux City, IA-NE-SD",Metropolitan Statistical Area,Central,"Sioux City, IA-NE-SD",168806,102981,29.0016859262,Woodbury County,872.834,"Sioux City-Vermillion, IA-SD-NE",True,117.984633962
358,KS,1539442.71529,26931.8706072,55445.9969533,44970.7299278,1290627.72857,102619.839857,0.0,1388.20804779,3489.51514042,13968.8261891,20045.0,598,312.0,"Lawrence, KS",Metropolitan Statistical Area,Central,"Lawrence, KS",116585,104408,14.7444900323,Douglas County,455.871,"Kansas City-Overland Park-Kansas City, MO-KS",True,229.029703578
